ag,date,end,lastUpdated,minutes,run,service,start,status
TX_N_HOU_PRSDO_EST_E,2019-06-07,2019-06-07 05:35:12,2019-06-07 05:35:12,3.0,1,LoadData,2019-06-07 05:32:01,ERROR
FL_CENTRAL_T,2019-06-07,2019-06-07 05:32:05,2019-06-07 05:32:05,0.0,1,SameLocation,2019-06-07 05:32:04,DONE
FL_CENTRAL_T,2019-06-07,2019-06-07 05:32:28,2019-06-07 05:32:28,0.0,1,DistanceMatrix,2019-06-07 05:32:05,DONE
IL_SOUTHERN_RURAL_T,2019-06-07,2019-06-07 05:32:15,2019-06-07 05:32:15,0.0,1,SameLocation,2019-06-07 05:32:11,DONE
FL_INDIAN_RIVER_T,2019-06-07,2019-06-07 05:32:15,2019-06-07 05:32:15,0.0,1,SameLocation,2019-06-07 05:32:11,DONE
TX_EL_PASO_E,2019-06-07,2019-06-07 05:35:03,2019-06-07 05:35:03,2.0,1,LoadData,2019-06-07 05:32:13,ERROR
TX_N_HOU_KEMPWOOD_E,2019-06-07,2019-06-07 05:35:57,2019-06-07 05:35:57,3.0,1,LoadData,2019-06-07 05:32:13,ERROR
FL_INDIAN_RIVER_T,2019-06-07,2019-06-07 05:32:38,2019-06-07 05:32:38,0.0,1,DistanceMatrix,2019-06-07 05:32:15,DONE
TX_N_HOU_CHARLES_E,2019-06-07,2019-06-07 05:35:16,2019-06-07 05:35:16,3.0,1,LoadData,2019-06-07 05:32:15,ERROR
TX_DLLS_STH_CENTRL_E,2019-06-07,2019-06-07 05:35:49,2019-06-07 05:35:49,3.0,1,LoadData,2019-06-07 05:32:15,ERROR
IL_SOUTHERN_RURAL_T,2019-06-07,2019-06-07 05:33:08,2019-06-07 05:33:08,0.0,1,DistanceMatrix,2019-06-07 05:32:16,DONE
TX_FTWO_MIDCITIES_E,2019-06-07,2019-06-07 05:36:02,2019-06-07 05:36:02,3.0,1,LoadData,2019-06-07 05:32:18,ERROR
KY_WEST_E,2019-06-07,2019-06-07 05:32:21,2019-06-07 05:32:21,0.0,1,SameLocation,2019-06-07 05:32:20,DONE
IL_NORTH_T,2019-06-07,2019-06-07 05:32:22,2019-06-07 05:32:22,0.0,1,SameLocation,2019-06-07 05:32:20,DONE
FL_EAST_DADE_T,2019-06-07,2019-06-07 05:32:22,2019-06-07 05:32:22,0.0,1,SameLocation,2019-06-07 05:32:20,DONE
FL_COASTAL_T,2019-06-07,2019-06-07 05:32:22,2019-06-07 05:32:22,0.0,1,SameLocation,2019-06-07 05:32:20,DONE
KY_WEST_E,2019-06-07,2019-06-07 05:33:52,2019-06-07 05:33:52,1.0,1,DistanceMatrix,2019-06-07 05:32:21,DONE
FL_COASTAL_T,2019-06-07,2019-06-07 05:32:50,2019-06-07 05:32:50,0.0,1,DistanceMatrix,2019-06-07 05:32:22,DONE
IL_NORTH_T,2019-06-07,2019-06-07 05:34:00,2019-06-07 05:34:00,1.0,1,DistanceMatrix,2019-06-07 05:32:22,DONE
FL_EAST_DADE_T,2019-06-07,2019-06-07 05:32:49,2019-06-07 05:32:49,0.0,1,DistanceMatrix,2019-06-07 05:32:23,DONE
FL_NORTH_BROWARD_T,2019-06-07,2019-06-07 05:32:26,2019-06-07 05:32:26,0.0,1,SameLocation,2019-06-07 05:32:23,DONE
FL_NORTH_BROWARD_T,2019-06-07,2019-06-07 05:33:19,2019-06-07 05:33:19,0.0,1,DistanceMatrix,2019-06-07 05:32:27,DONE
FL_CENTRAL_T,2019-06-07,2019-06-07 05:57:37,2019-06-07 05:57:37,25.0,1,Optaplanner,2019-06-07 05:32:29,DONE
TFS_FL_ORLANDO_T,2019-06-07,2019-06-07 05:57:37,2019-06-07 05:57:37,25.0,1,Optaplanner,2019-06-07 05:32:29,DONE
TFS_FL_DUNNELLON_T,2019-06-07,2019-06-07 05:52:45,2019-06-07 05:52:45,20.0,1,Optaplanner,2019-06-07 05:32:29,DONE
FL_PALM_T,2019-06-07,2019-06-07 05:32:34,2019-06-07 05:32:34,0.0,1,SameLocation,2019-06-07 05:32:29,DONE
TFS_FL_BROOKSVILLE_T,2019-06-07,2019-06-07 05:52:48,2019-06-07 05:52:48,20.0,1,Optaplanner,2019-06-07 05:32:29,DONE
IL_CHCG_METRO_NTH_T,2019-06-07,2019-06-07 05:32:32,2019-06-07 05:32:32,0.0,1,SameLocation,2019-06-07 05:32:31,DONE
IL_OUTSTATE_T,2019-06-07,2019-06-07 05:32:36,2019-06-07 05:32:36,0.0,1,SameLocation,2019-06-07 05:32:32,DONE
IL_CHCG_METRO_NTH_T,2019-06-07,2019-06-07 05:33:51,2019-06-07 05:33:51,1.0,1,DistanceMatrix,2019-06-07 05:32:32,DONE
FL_PALM_T,2019-06-07,2019-06-07 05:33:14,2019-06-07 05:33:14,0.0,1,DistanceMatrix,2019-06-07 05:32:34,DONE
IL_OUTSTATE_T,2019-06-07,2019-06-07 05:34:24,2019-06-07 05:34:24,1.0,1,DistanceMatrix,2019-06-07 05:32:36,DONE
FL_INDIAN_RIVER_T,2019-06-07,2019-06-07 05:53:50,2019-06-07 05:53:50,21.0,1,Optaplanner,2019-06-07 05:32:38,DONE
NC_GRNSBORO_CNTRL_T,2019-06-07,2019-06-07 05:38:16,2019-06-07 05:38:16,5.0,1,LoadData,2019-06-07 05:32:42,DONE
TX_DLLS_NORTHWEST_E,2019-06-07,2019-06-07 05:37:08,2019-06-07 05:37:08,4.0,1,LoadData,2019-06-07 05:32:42,ERROR
TX_SNAN_AUST_SOUTH_E,2019-06-07,2019-06-07 05:34:41,2019-06-07 05:34:41,1.0,1,LoadData,2019-06-07 05:32:43,ERROR
FL_EAST_DADE_T,2019-06-07,2019-06-07 06:03:27,2019-06-07 06:03:27,30.0,1,Optaplanner,2019-06-07 05:32:50,DONE
NC_CHARLOTTE_CNTRL_T,2019-06-07,2019-06-07 05:36:47,2019-06-07 05:36:47,3.0,1,LoadData,2019-06-07 05:32:50,DONE
CA_NAPA_T,2019-06-07,2019-06-07 05:32:53,2019-06-07 05:32:53,0.0,1,SameLocation,2019-06-07 05:32:51,DONE
SC_UPSTATE_T,2019-06-07,2019-06-07 05:37:24,2019-06-07 05:37:24,4.0,1,LoadData,2019-06-07 05:32:51,DONE
FL_COASTAL_T,2019-06-07,2019-06-07 05:54:29,2019-06-07 05:54:29,21.0,1,Optaplanner,2019-06-07 05:32:51,DONE
TFS_FL_BREVARD_T,2019-06-07,2019-06-07 05:54:29,2019-06-07 05:54:29,21.0,1,Optaplanner,2019-06-07 05:32:52,DONE
TFS_FL_VOLUSIA_T,2019-06-07,2019-06-07 05:54:19,2019-06-07 05:54:19,21.0,1,Optaplanner,2019-06-07 05:32:52,DONE
TFS_FL_SANFORD_T,2019-06-07,2019-06-07 05:53:22,2019-06-07 05:53:22,20.0,1,Optaplanner,2019-06-07 05:32:52,DONE
CA_NAPA_T,2019-06-07,2019-06-07 05:35:17,2019-06-07 05:35:17,2.0,1,DistanceMatrix,2019-06-07 05:32:53,DONE
CA_INLAND_EMPIRE_T,2019-06-07,2019-06-07 05:32:58,2019-06-07 05:32:58,0.0,1,SameLocation,2019-06-07 05:32:55,DONE
CA_INLAND_EMPIRE_T,2019-06-07,2019-06-07 05:35:34,2019-06-07 05:35:34,2.0,1,DistanceMatrix,2019-06-07 05:32:59,DONE
CA_CENTRAL_COAST_T,2019-06-07,2019-06-07 05:33:03,2019-06-07 05:33:03,0.0,1,SameLocation,2019-06-07 05:33:01,DONE
CA_CENTRAL_COAST_T,2019-06-07,2019-06-07 05:35:26,2019-06-07 05:35:26,2.0,1,DistanceMatrix,2019-06-07 05:33:03,DONE
IL_SOUTHERN_RURAL_T,2019-06-07,2019-06-07 05:59:27,2019-06-07 05:59:27,26.0,1,Optaplanner,2019-06-07 05:33:08,DONE
TN_CO_CHATTANOOGA_T,2019-06-07,2019-06-07 05:33:15,2019-06-07 05:33:15,0.0,1,SameLocation,2019-06-07 05:33:13,DONE
FL_PALM_T,2019-06-07,2019-06-07 05:54:46,2019-06-07 05:54:46,21.0,1,Optaplanner,2019-06-07 05:33:14,DONE
LA_NORTH_SHORE_T,2019-06-07,2019-06-07 05:33:21,2019-06-07 05:33:21,0.0,1,SameLocation,2019-06-07 05:33:15,DONE
TN_CO_CHATTANOOGA_T,2019-06-07,2019-06-07 05:34:52,2019-06-07 05:34:52,1.0,1,DistanceMatrix,2019-06-07 05:33:15,DONE
CA_REDWOOD_T,2019-06-07,2019-06-07 05:33:22,2019-06-07 05:33:22,0.0,1,SameLocation,2019-06-07 05:33:17,DONE
FL_NORTH_BROWARD_T,2019-06-07,2019-06-07 06:14:35,2019-06-07 06:14:35,41.0,1,Optaplanner,2019-06-07 05:33:19,DONE
TFS_FL_N_BROWARD_CORAL_FTLD_T,2019-06-07,2019-06-07 05:55:21,2019-06-07 05:55:21,22.0,1,Optaplanner,2019-06-07 05:33:20,DONE
TFS_FL_N_BROWARD_BOCA_T,2019-06-07,2019-06-07 05:54:07,2019-06-07 05:54:07,20.0,1,Optaplanner,2019-06-07 05:33:20,DONE
TFS_FL_N_BROWARD_POMPANO_T,2019-06-07,2019-06-07 05:54:38,2019-06-07 05:54:38,21.0,1,Optaplanner,2019-06-07 05:33:20,DONE
TFS_FL_N_BROWARD_CYPRESS_T,2019-06-07,2019-06-07 06:14:35,2019-06-07 06:14:35,41.0,1,Optaplanner,2019-06-07 05:33:20,DONE
LA_NORTH_SHORE_T,2019-06-07,2019-06-07 05:34:40,2019-06-07 05:34:40,1.0,1,DistanceMatrix,2019-06-07 05:33:21,DONE
CA_REDWOOD_T,2019-06-07,2019-06-07 05:37:38,2019-06-07 05:37:38,4.0,1,DistanceMatrix,2019-06-07 05:33:23,DONE
